,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
29,0.34,Thu Dec 21 23:39:56 +0000 2017,0.893,0.0,0.107,"The 6.4 million expected to fly in the next two weeks will also see security changes, including new automated scree… https://t.co/qo4JVwIUuz",30,@cbsnews
30,-0.4767,Thu Dec 21 23:37:26 +0000 2017,0.67,0.215,0.115,Officials are testing new security screening technology designed to spot hidden explosives and suicide vests;… https://t.co/nLk1HIEnWs,31,@cbsnews
31,0.0,Thu Dec 21 23:33:26 +0000 2017,1.0,0.0,0.0,We are now inside the busiest 48-hour travel window of the season. A record 107 million Americans are expected to b… https://t.co/2KPgOLXTHW,32,@cbsnews
32,0.4215,Thu Dec 21 23:30:47 +0000 2017,0.833,0.0,0.167,"""My view of all these matters is that the special counsel has a job to do,"" Vice President Mike Pence tells… https://t.co/92LC9csorQ",33,@cbsnews
33,0.0,Thu Dec 21 23:17:27 +0000 2017,1.0,0.0,0.0,RT @CBSEveningNews: Here's what we have coming up on the @CBSEveningNews with @jeffglor https://t.co/iJMyiWya5h,34,@cbsnews
34,0.0,Thu Dec 21 23:15:53 +0000 2017,1.0,0.0,0.0,"""If I could say one thing to 2017, I wouldn't say anything — because we're not on speaking terms."" Watch CBS News s… https://t.co/PIlicGAQKh",35,@cbsnews
35,0.144,Thu Dec 21 23:00:26 +0000 2017,0.77,0.103,0.127,"Vice President Mike Pence weighs in on Flynn firing, says White House is ""fully cooperating"" with special counsel d… https://t.co/8ulaYsee6N",36,@cbsnews
36,0.2732,Thu Dec 21 22:53:01 +0000 2017,0.9,0.0,0.1,"RT @CBSEveningNews: COMING UP: @MargBrennan sits down with @VP Pence during his surprise trip to Afghanistan

Tonight on the @CBSEveningNew…",37,@cbsnews
37,0.4019,Thu Dec 21 22:47:01 +0000 2017,0.828,0.0,0.172,"Ireland approves construction of a sea wall at Trump golf course, report says https://t.co/pRJEBy0Wy2 https://t.co/KS2Ywzf9lN",38,@cbsnews
38,-0.3612,Thu Dec 21 22:25:02 +0000 2017,0.889,0.111,0.0,"Papa John's founder John Schnatter to step down as CEO next month, about two months after he publicly criticized NF… https://t.co/IUt2NQIJql",39,@cbsnews
39,-0.25,Thu Dec 21 22:20:01 +0000 2017,0.66,0.193,0.146,@CBSNews MORE: The House passed a short-term government funding resolution and disaster relief bill Thursday aftern… https://t.co/vvHpzq2wRo,40,@cbsnews
40,0.0,Thu Dec 21 22:13:28 +0000 2017,1.0,0.0,0.0,MOMENTS AGO: President Trump meets with U.S. troops and their families at Walter Reed National Military Medical Cen… https://t.co/1jHaTCMhLy,41,@cbsnews
41,0.2263,Thu Dec 21 22:00:01 +0000 2017,0.66,0.122,0.218,"NEW: House passes a resolution to extend government funding through January 19th, avoiding a shutdown over the holidays.",42,@cbsnews
42,-0.2732,Thu Dec 21 21:57:54 +0000 2017,0.909,0.091,0.0,"""And in case you didn't hear about it from back home...Yesterday, we cut your taxes,"" says Pence during speech to U… https://t.co/mX9E04bo6d",43,@cbsnews
43,0.9118,Thu Dec 21 21:51:55 +0000 2017,0.588,0.0,0.412,"@CBSNews ""Let me assure you, President Donald Trump is the best friend the armed forces of the United States will e… https://t.co/hpNtWARtXp",44,@cbsnews
44,0.0,Thu Dec 21 21:48:27 +0000 2017,1.0,0.0,0.0,"""Your leadership and your service speak louder than any words I could say here tonight."" Vice President Mike Pence… https://t.co/uwSkZhdltc",45,@cbsnews
45,0.5562,Thu Dec 21 21:30:02 +0000 2017,0.841,0.0,0.159,There are sunnier days ahead! Here are 7 things you should know about the #WinterSolstice — the shortest day of the… https://t.co/9IWWvRB39A,46,@cbsnews
46,0.0,Thu Dec 21 21:15:02 +0000 2017,1.0,0.0,0.0,"Mom led police to 5-year-old boy's body buried in backyard, report says https://t.co/3rWhlM9VeO https://t.co/Ywt3zpkww6",47,@cbsnews
47,-0.8442,Thu Dec 21 21:00:03 +0000 2017,0.581,0.419,0.0,South Korean soldiers fire 20 warning machine gun rounds as another N. Korean defector runs for border… https://t.co/aNPBPpXKXb,48,@cbsnews
