,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
30,-0.296,Fri Dec 22 01:50:36 +0000 2017,0.879,0.121,0.0,"""This was an actual, legitimate conference...No backroom deals. No secret meetings in oligarchy towers."" — Former p… https://t.co/ok22rGZlkF",31,@FoxNews
31,0.6808,Fri Dec 22 01:47:25 +0000 2017,0.728,0.0,0.272,"UPDATE: A homeless man, who jumped into action to help a police officer, is being commended by @ColumbiaPDSC.… https://t.co/HkJ1gDu0eD",32,@FoxNews
32,0.3182,Fri Dec 22 01:30:58 +0000 2017,0.839,0.0,0.161,.@nikkihaley invites countries who supported US in @UN Israel vote to reception https://t.co/L06q0Vqete,33,@FoxNews
33,0.0,Fri Dec 22 01:27:41 +0000 2017,1.0,0.0,0.0,".@MarkSteynOnline on U.S. immigration policies: ""Law-abiding people have to dot every 'i' and cross every 't' and e… https://t.co/DgNeDu67iB",34,@FoxNews
34,0.7942,Fri Dec 22 00:59:23 +0000 2017,0.665,0.0,0.335,"Tony Perkins on saying ""Merry Christmas"" during holidays: ""Most Americans are not looking for conflict and we've ha… https://t.co/yFYFXYWX1E",35,@FoxNews
35,0.7351,Fri Dec 22 00:56:25 +0000 2017,0.721,0.0,0.279,"Tony Perkins on @POTUS bringing ""Merry Christmas"" back for holiday season: ""The president understood that the abili… https://t.co/81Mm3eZqzF",36,@FoxNews
36,0.7351,Fri Dec 22 00:54:01 +0000 2017,0.744,0.0,0.256,"Tony Perkins on @POTUS adding ""Merry Christmas"" to @WhiteHouse holiday card: ""This is about a lot more than just so… https://t.co/3HsJ900sWB",37,@FoxNews
37,0.6808,Fri Dec 22 00:46:39 +0000 2017,0.752,0.0,0.248,".@DavidWohl on report of @POTUS slowing down legal immigration: ""Part of making America great again is putting Amer… https://t.co/q1BvylGrID",38,@FoxNews
38,0.2023,Fri Dec 22 00:43:18 +0000 2017,0.87,0.0,0.13,'A Year of Substantial Accomplishment': @SenateMajLdr on Year 1 of the @realDonaldTrump Presidency https://t.co/iJgnjVVZL1,39,@FoxNews
39,0.3612,Fri Dec 22 00:39:43 +0000 2017,0.894,0.0,0.106,"Gen. Jack Keane on @UN voiding US decision on Jerusalem: ""I don't think that we should let a symbolic vote like thi… https://t.co/mJNM6WSs56",40,@FoxNews
