,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
31,0.0,Thu Dec 21 23:53:49 +0000 2017,1.0,0.0,0.0,Introducing the Year in Pictures. To pause and look back is a revelation. https://t.co/rWY77LdrH5,32,@NyTimes
32,0.0,Thu Dec 21 23:46:31 +0000 2017,1.0,0.0,0.0,We deleted this earlier tweet to the article https://t.co/ki8wDv8gFO https://t.co/soO7Onn6uu,33,@NyTimes
33,0.0,Thu Dec 21 23:44:12 +0000 2017,1.0,0.0,0.0,Correction: A judge dismissed a case against President Trump over the Emoluments Clause because he found the plaint… https://t.co/pBTPdZZ0ld,34,@NyTimes
34,0.4588,Thu Dec 21 23:40:04 +0000 2017,0.786,0.0,0.214,These cute little toys could bring a hacker inside your home https://t.co/3XVDEt4ZxT https://t.co/4Wy288sFzh,35,@NyTimes
35,0.4404,Thu Dec 21 23:25:03 +0000 2017,0.838,0.0,0.162,"As its stress-reducing properties have become better understood, kava is beginning to catch on internationally https://t.co/0pqFXbSgzP",36,@NyTimes
36,-0.2263,Thu Dec 21 23:15:55 +0000 2017,0.84,0.16,0.0,RT @EricLiptonNYT: NYT story from January when lawsuit was filed https://t.co/UOsGw6PpiG,37,@NyTimes
37,0.5719,Thu Dec 21 23:10:02 +0000 2017,0.773,0.0,0.227,"Catalonia’s separatist parties were poised to hold on to a narrow majority in regional elections, according to near… https://t.co/jh4dcmSNBg",38,@NyTimes
38,0.7845,Thu Dec 21 22:55:12 +0000 2017,0.67,0.0,0.33,"Here are some of the best TV holiday specials, along with where to find them https://t.co/K9KJbVRuXb",39,@NyTimes
39,-0.3612,Thu Dec 21 22:40:06 +0000 2017,0.848,0.152,0.0,Apple's recent statement on iPhones has sown suspicions about planned obsolescence. Here's a closer look. https://t.co/PBl9FCjTc5,40,@NyTimes
40,-0.0516,Thu Dec 21 22:27:00 +0000 2017,0.811,0.099,0.09,"To keep Jakarta from ending up underwater, the city needs to stop digging wells and provide residents with reliable… https://t.co/I6S6znudXd",41,@NyTimes
41,-0.4215,Thu Dec 21 22:24:00 +0000 2017,0.887,0.113,0.0,"About 40 percent of Jakarta now lies below sea level, and hydrologists say the city has only a decade to halt its s… https://t.co/CzkKDRO45a",42,@NyTimes
42,-0.3818,Thu Dec 21 22:21:00 +0000 2017,0.763,0.153,0.085,"The main cause? Jakartans are digging illegal wells, drip by drip draining the underground aquifers on which the ci… https://t.co/5s4UAg1XcC",43,@NyTimes
43,0.0,Thu Dec 21 22:18:00 +0000 2017,1.0,0.0,0.0,"It’s happening so surreally fast that rivers sometimes flow upstream, ordinary rains regularly swamp neighborhoods… https://t.co/ZXgEXg7fEI",44,@NyTimes
44,0.0,Thu Dec 21 22:15:16 +0000 2017,1.0,0.0,0.0,"Jakarta is sinking faster than any other big city on the planet, faster even than climate change is causing the sea… https://t.co/8kNgh57lmH",45,@NyTimes
45,-0.296,Thu Dec 21 22:00:15 +0000 2017,0.778,0.133,0.089,"Mamie Johnson, one of a handful of women to play in the Negro leagues — and the only one known to pitch — has died https://t.co/Ubze0QWp8T",46,@NyTimes
46,0.4215,Thu Dec 21 21:56:01 +0000 2017,0.851,0.0,0.149,"Breaking News: The House approved legislation to keep the government funded into January, averting a shutdown. The… https://t.co/I4uN6NIfTf",47,@NyTimes
47,0.2732,Thu Dec 21 21:45:07 +0000 2017,0.896,0.0,0.104,"Opinion: Between flying reindeer and an all-knowing man in red, is it any surprise that Christmas has hallucinogeni… https://t.co/zF6SMadANk",48,@NyTimes
