,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
28,0.5267,Thu Dec 21 10:02:03 +0000 2017,0.804,0.0,0.196,"They make lethal machines in sci-fi movies, but in reality, there are many challenges involved in making huge robot… https://t.co/sHdI5SeZK0",29,@BBC
29,0.6114,Thu Dec 21 09:00:10 +0000 2017,0.834,0.0,0.166,"Happy #WinterSolstice! ❄
Today has an average of 7h 49m of daylight (that's 8h 49m less than during the summer sols… https://t.co/Yz46N46UaN",30,@BBC
30,0.0,Thu Dec 21 08:40:01 +0000 2017,1.0,0.0,0.0,"This group of people have a genetic condition which means they can't meet, so they've formed a virtual choir to rec… https://t.co/jsLnQPfjIG",31,@BBC
31,-0.5719,Thu Dec 21 08:20:03 +0000 2017,0.85,0.15,0.0,"'I kept my head down to survive the day at work.' 😢
Opening up about depression to your colleagues can be tough.… https://t.co/rMkuvxvwBd",32,@BBC
32,0.7177,Thu Dec 21 08:03:05 +0000 2017,0.769,0.0,0.231,What a guy! Santa took some time out of his busy schedule to go on a special festive flight with these poorly child… https://t.co/xb1zoe7eFp,33,@BBC
33,0.0,Thu Dec 21 07:38:10 +0000 2017,1.0,0.0,0.0,"❄️🌇 Frozen landscapes &amp; sunset palettes, these are your pictures of winter in Wales. 👉 https://t.co/seH9A84gFp https://t.co/1UM7UKBQxg",34,@BBC
34,0.0,Wed Dec 20 22:24:51 +0000 2017,1.0,0.0,0.0,RT @BBCTwo: CONFIRMED: #PeakyBlinders will return to @BBCTwo in 2019. 😎 https://t.co/YskoNrhezc,35,@BBC
35,0.4588,Wed Dec 20 20:17:04 +0000 2017,0.778,0.0,0.222,"Tonight's #MockTheWeek Christmas special is filled with quizzes, challenges, outtakes and unseen material. Watch at… https://t.co/3uujbda1Bg",36,@BBC
36,0.3612,Wed Dec 20 19:30:45 +0000 2017,0.902,0.0,0.098,"RT @BBCRadio3: We’re currently *19* followers short of the 100,000 mark. Come on now, you’d like to give your favourite radio station the p…",37,@BBC
37,0.3818,Wed Dec 20 19:30:18 +0000 2017,0.787,0.055,0.157,RT @BBCArchive: #OTD 1982: John Cleese reluctantly agreed to an interview alongside Michael Palin. It was worth it - he got a Film 82 sweat…,38,@BBC
38,0.3818,Wed Dec 20 19:30:02 +0000 2017,0.874,0.0,0.126,"RT @bbcmusic: PURE GOOSEBUMPS ❤️
How stunning is this performance of 'Grace' by @RagNBoneManUK?
Watch in full 👉 https://t.co/KNWHYXPK4U htt…",39,@BBC
39,0.0,Wed Dec 20 19:30:02 +0000 2017,1.0,0.0,0.0,When you're told you have a starring role in #StarWars right before having to sit through a really long play... 😂… https://t.co/YU3u2U2Ar0,40,@BBC
40,0.0,Wed Dec 20 19:29:53 +0000 2017,1.0,0.0,0.0,"RT @BBCOne: Nomnomnom. 👅

🆕 Doodlebugs (it's very very silly)
📅 Christmas Eve 
⏰ 3.55pm https://t.co/tCULdO4a4a",41,@BBC
41,0.4588,Wed Dec 20 19:03:03 +0000 2017,0.875,0.0,0.125,"Over the course of a year, Judi Dench explores the magical and secret lives of trees. Judi Dench: My Passion for Tr… https://t.co/k2Ibe00fAa",42,@BBC
42,0.802,Wed Dec 20 18:38:03 +0000 2017,0.676,0.0,0.324,"Love drama? You're in luck. #Sherlock, #LineofDuty, #PeakyBlinders and more boxsets are available on @BBCiPlayer no… https://t.co/OtizgUrqZi",43,@BBC
43,-0.5106,Wed Dec 20 18:02:04 +0000 2017,0.673,0.238,0.09,Christmas cracker jokes are terrible. This musical one from the @hornesection is no exception. 🙈🙄🎄 Via @BBCRadio3… https://t.co/yEUu5RMT8U,44,@BBC
44,-0.0772,Wed Dec 20 17:41:12 +0000 2017,0.942,0.058,0.0,"RT @BBCScotland: Meteorology is serious business 🌦️

Watch the season finale of Scot Squad tonight at 10.40pm on BBC One Scotland: https://…",45,@BBC
45,0.6597,Wed Dec 20 17:30:10 +0000 2017,0.769,0.0,0.231,"In '78, the made-for-TV #StarWars Holiday Special proved to be a thing of jaw-dropping awfulness. Why did it go so… https://t.co/N7c3CoYnQs",46,@BBC
46,0.0516,Wed Dec 20 17:27:40 +0000 2017,0.938,0.0,0.062,A woman has been overwhelmed by the response to her dog nativity scene after this photo went viral. ❤️️🐶… https://t.co/v3uA4E049D,47,@BBC
47,0.0,Wed Dec 20 17:23:58 +0000 2017,1.0,0.0,0.0,"RT @BBCNewsPR: Started the day as a '2' finishing as a '7' 😂😂😂 

Which Huw, are you?! 

#DoTheHuw https://t.co/cCcwG6t8mI",48,@BBC
48,0.0,Wed Dec 20 17:23:46 +0000 2017,1.0,0.0,0.0,RT @BBCFrontRow: 📽️ @Markgatiss has a vast collection of teeth 😬 https://t.co/KbpiMeIesE https://t.co/yHgF9MEnvq,49,@BBC
49,0.5244,Wed Dec 20 17:12:46 +0000 2017,0.674,0.0,0.326,RT @BBCiPlayer: So true! 😂 @Indianajones #iplayerit https://t.co/Xni4qOQowd https://t.co/967zgNt2Is,50,@BBC
50,0.4019,Wed Dec 20 17:12:38 +0000 2017,0.863,0.0,0.137,RT @TWBBC: More nostalgia. Who remembers Roland Rat? Here he is on another Tomorrow's World Christmas Special https://t.co/okgvv4izU2,51,@BBC
51,0.0,Wed Dec 20 17:00:13 +0000 2017,1.0,0.0,0.0,Dark Christmas: Seven seasonal monsters from myth and legend. 😱 https://t.co/wcllWk6gFJ https://t.co/fhKiBHn8TC,52,@BBC
52,-0.4019,Wed Dec 20 16:52:43 +0000 2017,0.816,0.184,0.0,RT @bbcthree: Got a problem with a female Doctor? Here are some tips. @bbcdoctorwho https://t.co/D4mvNKrTVS,53,@BBC
53,0.0,Wed Dec 20 16:19:10 +0000 2017,1.0,0.0,0.0,"We could all learn a thing or two from Jacob. ❤️️ 

Via @BBCEssex https://t.co/QfsNZsvMOq",54,@BBC
54,0.6369,Wed Dec 20 16:03:05 +0000 2017,0.819,0.0,0.181,"We've got @Eminem's @BBCR1 session on repeat. 🎶 
Watch his performance of Love The Way You Lie with @SkylarGrey in… https://t.co/uQKSvDLmjz",55,@BBC
55,0.3034,Wed Dec 20 14:48:51 +0000 2017,0.895,0.0,0.105,RT @bbccomedy: EXCLUSIVE: When you're Wonder Woman and no-one will let you be in your own film. @Ferrifrump @Dawn_French #300YearsofFrencha…,56,@BBC
56,0.1027,Wed Dec 20 14:31:04 +0000 2017,0.865,0.0,0.135,🎁❤️️ Have @NoelGallagher &amp; @LiamGallagher reached a Christmas truce? https://t.co/u7X4KSnkHl https://t.co/8lfvrPEba3,57,@BBC
57,0.0,Wed Dec 20 14:00:06 +0000 2017,1.0,0.0,0.0,Could deadly diseases be 'uninvented'? 😷 https://t.co/CaHEMHVtce https://t.co/M9n8VYrvKn,58,@BBC
58,0.3291,Wed Dec 20 13:30:05 +0000 2017,0.879,0.0,0.121,"🎤 @EdSheeran's Perfect remains the front-runner for this year's Christmas # 1, but @Eminem is closing in fast. Who'… https://t.co/zGeFBEmAzw",59,@BBC
59,0.3291,Wed Dec 20 13:00:04 +0000 2017,0.903,0.0,0.097,"🏃@Mo_Farah may have won BBC Sports Personality of the Year, but it was his son Hussein who stole the show on Sunday… https://t.co/CNrCFBVVtF",60,@BBC
60,0.3818,Wed Dec 20 12:40:56 +0000 2017,0.841,0.0,0.159,"RT @BBCTwo: Which #PeakyBlinders gang are you backing?

🔁 Retweet if you’re #TeamTommy 

❤️ Like if you’re #TeamAlfie 

🚫 Log Out if you’re…",61,@BBC
