,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
28,0.4019,Wed Dec 20 05:52:31 +0000 2017,0.863,0.0,0.137,"Senate approves the most sweeping tax overhaul in a generation, a bill most Americans oppose. The House must revote… https://t.co/qkWy47X0dH",29,@CNNbrk
29,0.0,Tue Dec 19 22:03:49 +0000 2017,1.0,0.0,0.0,"The Senate will make technical changes to the Republican tax plan tonight, forcing the House to vote again before P… https://t.co/LhVwe580Jh",30,@CNNbrk
30,-0.7906,Tue Dec 19 21:45:22 +0000 2017,0.741,0.259,0.0,At least 11 people are dead and 20 others are injured after a tour bus crashed on its way to a Mayan ruin… https://t.co/Sw2MZ7OXBJ,31,@CNNbrk
31,-0.2732,Tue Dec 19 21:39:18 +0000 2017,0.913,0.087,0.0,RT @CNNMoney: Stocks back away from record highs despite House passing tax plan. Dow dips 38 points. GE drops to six-year low. https://t.co…,32,@CNNbrk
32,0.0,Tue Dec 19 19:34:22 +0000 2017,1.0,0.0,0.0,"House Republicans pass the first major tax code overhaul in more than 30 years, setting up Trump and the GOP for a… https://t.co/EFXHJsQyzs",33,@CNNbrk
33,-0.5106,Tue Dec 19 18:12:51 +0000 2017,0.845,0.155,0.0,The SEC suspends trading of red-hot bitcoin stock The Crypto Company amid a crackdown on potential frauds and scams… https://t.co/VG3ea03CM2,34,@CNNbrk
34,-0.4588,Tue Dec 19 18:04:47 +0000 2017,0.87,0.13,0.0,Ta-Nehisi Coates just deleted his Twitter account after arguing with Cornel West. Here are some of the big names wh… https://t.co/JqIpgY41c3,35,@CNNbrk
35,-0.34,Tue Dec 19 08:04:57 +0000 2017,0.893,0.107,0.0,"The Amtrak train that derailed Monday in DuPont, Washington, was traveling 80 mph in a 30 mph zone, according to th… https://t.co/XQ7Nh5u3mO",36,@CNNbrk
36,-0.6705,Tue Dec 19 00:29:11 +0000 2017,0.8,0.2,0.0,At least 3 people killed in Washington state Amtrak train derailment and more than 100 others transported to hospit… https://t.co/SVCr6VP1he,37,@CNNbrk
37,0.128,Mon Dec 18 22:20:54 +0000 2017,0.783,0.097,0.12,Vice President Pence postpones trip to Egypt and Israel to ensure Senate passage of the GOP tax bill… https://t.co/d7nuMBNk9z,38,@CNNbrk
38,-0.4215,Mon Dec 18 22:17:52 +0000 2017,0.648,0.241,0.111,US uses veto to block a UN Security Council resolution critical of Trump administration's recognition of Jerusalem… https://t.co/WHRlncVnvu,39,@CNNbrk
39,0.0,Mon Dec 18 21:06:28 +0000 2017,1.0,0.0,0.0,"RT @CNNMoney: The Dow, Nasdaq and the S&amp;P 500 all close at record highs on the eve of House vote on GOP tax bill. https://t.co/A9OlUXl3FI",40,@CNNbrk
40,0.5574,Mon Dec 18 21:00:53 +0000 2017,0.841,0.0,0.159,Positive Train Control technology that slows trains if going too fast was not activated on tracks in Washington der… https://t.co/E7puFSUZWj,41,@CNNbrk
41,0.3818,Mon Dec 18 19:31:45 +0000 2017,0.69,0.099,0.211,"Trump expresses sympathy for victims of deadly Amtrak train derailment at start of security speech, pushes his infr… https://t.co/1g3V0AoJhA",42,@CNNbrk
42,-0.2263,Mon Dec 18 19:23:33 +0000 2017,0.794,0.127,0.079,"Trump judicial pick Matthew Petersen, who struggled to answer basic legal questions in a confirmation hearing, with… https://t.co/3UeYvBdlpl",43,@CNNbrk
43,0.34,Mon Dec 18 17:52:57 +0000 2017,0.897,0.0,0.103,"RT @CNNPolitics: President Trump is set to unveil a new security strategy that will call China a ""strategic competitor"" and lay out the Uni…",44,@CNNbrk
44,-0.3182,Mon Dec 18 16:59:25 +0000 2017,0.887,0.113,0.0,"Amtrak train derails in Pierce County, Washington, leaving at least one passenger car dangling on to Interstate 5.… https://t.co/VkhGhYxgJg",45,@CNNbrk
45,-0.0534,Mon Dec 18 16:31:02 +0000 2017,0.795,0.108,0.098,"John Skipper resigns as president of ESPN, citing a substance addiction. ""I have decided that the most important th… https://t.co/XHk3d17J5s",46,@CNNbrk
46,-0.5423,Mon Dec 18 15:07:36 +0000 2017,0.743,0.257,0.0,"RT @CNNPolitics: Judge Alex Kozinski, who has been accused of sexual misconduct, resigns https://t.co/ix7G7eZnDd https://t.co/BSdEswha3b",47,@CNNbrk
47,0.5423,Mon Dec 18 14:39:53 +0000 2017,0.863,0.0,0.137,"RT @CNNMoney: Dow, Nasdaq and S&amp;P 500 all open at record highs, driven by optimism for final passage of Republican tax plan. https://t.co/A…",48,@CNNbrk
48,0.4019,Mon Dec 18 14:05:21 +0000 2017,0.863,0.0,0.137,"RT @CNNPolitics: Democratic Sen. Joe Manchin on Sen. Al Franken: ""I definitely think he should not resign” https://t.co/tedqaOdiRz",49,@CNNbrk
49,-0.1027,Mon Dec 18 12:27:20 +0000 2017,0.727,0.145,0.127,"RT @CNNPolitics: President Trump predicts he will be exonerated in the Russia investigation as allies fear a ""meltdown"" https://t.co/lHgBqK…",50,@CNNbrk
50,0.4005,Mon Dec 18 05:51:43 +0000 2017,0.848,0.0,0.152,Electricity has been fully restored after an outage at Atlanta's Hartsfield-Jackson International Airport left thou… https://t.co/icEaCAw7Ei,51,@CNNbrk
51,0.5574,Mon Dec 18 03:52:34 +0000 2017,0.859,0.0,0.141,"CNN Hero of the Year is Amy Wright. She employs 40 people with disabilities and will receive $100,000 to grow her c… https://t.co/brYr2heGSY",52,@CNNbrk
52,0.0,Mon Dec 18 02:00:46 +0000 2017,1.0,0.0,0.0,Carolina Panthers owner Jerry Richardson says he will put the team up for sale. The move comes after reports he act… https://t.co/VQY5FzuzGL,53,@CNNbrk
53,0.0,Sun Dec 17 20:09:42 +0000 2017,1.0,0.0,0.0,"Power outage at Atlanta's Hartsfield-Jackson International, the world's busiest airport, has left thousands of pass… https://t.co/llPjk3wIW9",54,@CNNbrk
54,-0.5423,Sun Dec 17 19:10:11 +0000 2017,0.538,0.332,0.13,"Putin thanks Trump after ISIS-inspired terror attacks against St. Petersburg, Russia, were thwarted using intellige… https://t.co/OUjrdRZuno",55,@CNNbrk
55,0.0,Sun Dec 17 18:31:00 +0000 2017,1.0,0.0,0.0,"RT @CNNPolitics: Alabama Sen.-elect Doug Jones says it's time to move on, even though Roy Moore won't concede the election https://t.co/mFa…",56,@CNNbrk
56,-0.5574,Sun Dec 17 17:55:15 +0000 2017,0.847,0.153,0.0,"The new ""Star Wars"" film made about $220 million in its opening weekend, according to Disney. That’s second only to… https://t.co/TDpdzGLw2l",57,@CNNbrk
57,0.296,Sun Dec 17 14:36:00 +0000 2017,0.905,0.0,0.095,RT @CNNPolitics: Sen.-elect Doug Jones of Alabama doesn’t join the several Senate Democrats calling for President Trump to step down: “I th…,58,@CNNbrk
58,0.296,Sun Dec 17 14:29:44 +0000 2017,0.901,0.0,0.099,"RT @CNNPolitics: Alabama Sen.-elect Doug Jones: ""I'm gonna commit to having a Senate office that reflects the diversity of Alabama. I can p…",59,@CNNbrk
59,0.2732,Sun Dec 17 14:27:41 +0000 2017,0.905,0.0,0.095,RT @CNNPolitics: Alabama Sen.-elect Doug Jones on if he considers voting with Republicans on certain issues: “Of course I do” #CNNSOTU http…,60,@CNNbrk
60,0.0,Sun Dec 17 14:24:34 +0000 2017,1.0,0.0,0.0,"RT @CNNPolitics: Alabama Sen.-elect Doug Jones has a message for Roy Moore: ""It's time to move on. Alabama has spoken"" #CNNSOTU https://t.c…",61,@CNNbrk
